min,gp,dist_miles,usg_pct,ts_pct,age,player_height_inches,player_weight,injured_last_season,injury_report_count_last_season,b2b_games,age_x_minutes,weight_x_minutes,b2b_x_minutes,age_x_weight,target_next_season
20.5,54,1.4,0.19,0.467,38.0,83.0,253.0,0.0,0.0,20,779.0,5186.5,410.0,9614.0,1
20.3,47,1.4,0.179,0.496,39.0,83.0,253.0,0.0,0.0,19,791.7,5135.900000000001,385.7,9867.0,0
29.5,6,1.9,0.29,0.505,35.0,78.0,205.0,0.0,0.0,19,1032.5,6047.5,560.5,7175.0,2
34.5,35,2.2,0.337,0.477,36.0,78.0,212.0,1.0,1.0,16,1242.0,7314.0,552.0,7632.0,3
29.2,74,1.9,0.251,0.535,38.0,83.0,250.0,0.0,0.0,19,1109.6,7300.0,554.8,9500.0,0
28.9,77,1.8,0.221,0.56,39.0,83.0,250.0,0.0,0.0,21,1127.1,7225.0,606.9,9750.0,2
24.4,81,1.6,0.223,0.539,37.0,78.0,220.0,0.0,0.0,16,902.8,5368.0,390.4,8140.0,0
16.5,66,1.1,0.193,0.445,38.0,78.0,220.0,0.0,0.0,20,627.0,3630.0,330.0,8360.0,1
16.8,60,1.1,0.177,0.52,39.0,78.0,220.0,0.0,0.0,18,655.2,3696.0,302.40000000000003,8580.0,1
24.7,73,1.6,0.147,0.542,40.0,78.0,220.0,1.0,1.0,17,988.0,5434.0,419.9,8800.0,1
32.9,80,2.1,0.26,0.603,36.0,84.0,245.0,0.0,0.0,16,1184.3999999999999,8060.5,526.4,8820.0,1
29.6,77,1.9,0.244,0.56,37.0,84.0,245.0,0.0,0.0,17,1095.2,7252.0,503.20000000000005,9065.0,0
31.5,75,2.0,0.249,0.555,38.0,84.0,245.0,1.0,1.0,17,1197.0,7717.5,535.5,9310.0,4
26.4,54,1.6,0.246,0.529,39.0,84.0,245.0,0.0,0.0,15,1029.6,6468.0,396.0,9555.0,1
28.0,75,1.7,0.221,0.595,36.0,79.0,235.0,0.0,0.0,20,1008.0,6580.0,560.0,8460.0,2
26.2,73,1.7,0.195,0.58,37.0,79.0,235.0,0.0,0.0,19,969.4,6157.0,497.8,8695.0,3
18.1,68,1.1,0.177,0.489,38.0,79.0,235.0,1.0,2.0,20,687.8000000000001,4253.5,362.0,8930.0,1
7.0,80,0.4,0.144,0.445,36.0,82.0,250.0,0.0,0.0,17,252.0,1750.0,119.0,9000.0,0
5.6,23,0.4,0.131,0.431,37.0,82.0,250.0,0.0,0.0,20,207.2,1400.0,112.0,9250.0,0
19.4,73,1.3,0.138,0.561,35.0,81.0,254.0,0.0,0.0,21,679.0,4927.599999999999,407.4,8890.0,0
13.5,36,0.9,0.114,0.457,36.0,81.0,254.0,0.0,0.0,21,486.0,3429.0,283.5,9144.0,1
16.9,58,1.1,0.148,0.534,38.0,74.0,200.0,0.0,0.0,20,642.1999999999999,3379.9999999999995,338.0,7600.0,0
15.5,81,1.0,0.152,0.548,39.0,74.0,200.0,0.0,0.0,18,604.5,3100.0,279.0,7800.0,0
31.7,76,2.2,0.155,0.537,36.0,79.0,228.0,0.0,0.0,16,1141.2,7227.599999999999,507.2,8208.0,2
16.3,35,1.1,0.144,0.501,36.0,74.0,180.0,0.0,0.0,20,586.8000000000001,2934.0,326.0,6480.0,1
21.3,77,1.5,0.137,0.579,37.0,74.0,185.0,1.0,1.0,20,788.1,3940.5,426.0,6845.0,0
17.5,72,1.3,0.146,0.54,38.0,74.0,185.0,1.0,1.0,20,665.0,3237.5,350.0,7030.0,0
18.4,74,1.3,0.096,0.6,39.0,74.0,185.0,0.0,0.0,18,717.5999999999999,3403.9999999999995,331.2,7215.0,1
13.4,29,0.9,0.187,0.469,34.0,79.0,260.0,0.0,0.0,18,455.6,3484.0,241.20000000000002,8840.0,0
16.9,35,1.1,0.162,0.435,36.0,79.0,260.0,0.0,0.0,18,608.4,4394.0,304.2,9360.0,0
19.1,45,1.4,0.142,0.532,33.0,81.0,235.0,0.0,0.0,20,630.3000000000001,4488.5,382.0,7755.0,0
22.8,68,1.6,0.238,0.59,36.0,78.0,205.0,0.0,0.0,19,820.8000000000001,4674.0,433.2,7380.0,3
22.7,70,1.6,0.231,0.544,37.0,78.0,205.0,0.0,0.0,21,839.9,4653.5,476.7,7585.0,1
19.6,58,1.4,0.227,0.573,38.0,78.0,205.0,1.0,3.0,17,744.8000000000001,4018.0000000000005,333.20000000000005,7790.0,3
